nominal mean Q^2,mean Q^2,mean Q^2 error,mean W,mean W error,-t (bin center),Rate (Hz), Rate (Hz) error

6.25,6.62641,8.42937e-08,0,0,0.02,0.116563,0.116563
,,,,,0.06,0,0
,,,,,0.1,0,0
,,,,,0.14,0,0
,,,,,0.18,0,0
,,,,,0.22,0,0
,,,,,0.26,0,0
,,,,,0.3,0,0
,,,,,0.34,0,0
,,,,,0.38,0,0

8.75,8.1199,0,0,0,0.02,0.116516,0.116516
,,,,,0.06,0,0
,,,,,0.1,0,0
,,,,,0.14,0,0
,,,,,0.18,0,0
,,,,,0.22,0,0
,,,,,0.26,0,0
,,,,,0.3,0,0
,,,,,0.34,0,0
,,,,,0.38,0,0

12.5,14.5733,0,0,0,0.02,0.116488,0.116488
,,,,,0.06,0,0
,,,,,0.1,0,0
,,,,,0.14,0,0
,,,,,0.18,0,0
,,,,,0.22,0,0
,,,,,0.26,0,0
,,,,,0.3,0,0
,,,,,0.34,0,0
,,,,,0.38,0,0

17.5,0,0,0,0,0.02,0,0
,,,,,0.06,0,0
,,,,,0.1,0,0
,,,,,0.14,0,0
,,,,,0.18,0,0
,,,,,0.22,0,0
,,,,,0.26,0,0
,,,,,0.3,0,0
,,,,,0.34,0,0
,,,,,0.38,0,0

22.5,0,0,0,0,0.02,0,0
,,,,,0.06,0,0
,,,,,0.1,0,0
,,,,,0.14,0,0
,,,,,0.18,0,0
,,,,,0.22,0,0
,,,,,0.26,0,0
,,,,,0.3,0,0
,,,,,0.34,0,0
,,,,,0.38,0,0

27.5,0,0,0,0,0.02,0,0
,,,,,0.06,0,0
,,,,,0.1,0,0
,,,,,0.14,0,0
,,,,,0.18,0,0
,,,,,0.22,0,0
,,,,,0.26,0,0
,,,,,0.3,0,0
,,,,,0.34,0,0
,,,,,0.38,0,0

32.5,31.7319,3.37175e-07,0,0,0.02,0,0
,,,,,0.06,0.116578,0.116578
,,,,,0.1,0,0
,,,,,0.14,0,0
,,,,,0.18,0,0
,,,,,0.22,0,0
,,,,,0.26,0,0
,,,,,0.3,0,0
,,,,,0.34,0,0
,,,,,0.38,0,0

truth_neutron ( #theta* < 4.0 mRad ) = 12824,nFiles = 2461
